order_id,carrier,tracking_number,shipped_date,estimated_delivery,current_status,last_location
ORD100072,UPS,US1681825187,2026-04-27,2026-05-02,Delivered,"San Diego, CA"
ORD100073,DHL,DH7305029814,2026-06-21,2026-06-29,Delivered,"Salt Lake City, UT"
ORD100074,DHL,UP5912547369,2025-08-02,2025-08-05,Delivered,"Austin, TX"
ORD100075,UPS,DH1652174484,2026-02-16,2026-02-21,Delivered,"Atlanta, GA"
ORD100076,DHL,US4531495494,2025-12-21,2025-12-30,In Transit,"Chicago, IL"
ORD100077,DHL,DH3512463846,2026-03-21,2026-03-27,Returned to Sender,"Denver, CO"
ORD100078,DHL,DH2811076569,2025-12-29,2026-01-05,Returned to Sender,"Chicago, IL"
ORD100079,DHL,UP7810890924,2025-12-21,2025-12-24,Returned to Sender,"San Diego, CA"
ORD100080,FedEx,FE3472292817,2026-07-07,2026-07-15,In Transit,"Austin, TX"
ORD100082,USPS,DH4444113865,2026-03-13,2026-03-20,Delivered,"Denver, CO"
ORD100083,UPS,UP8079338369,2026-02-01,2026-02-07,Delivered,"Minneapolis, MN"
ORD100084,DHL,US7965576778,2025-10-27,2025-10-30,Delivered,"Raleigh, NC"
ORD100085,USPS,FE1478805564,2026-02-12,2026-02-16,Delivered,"Seattle, WA"
ORD100086,FedEx,FE8143347427,2026-04-18,2026-04-21,Delivered,"Chicago, IL"
ORD100088,USPS,FE3123830957,2026-06-12,2026-06-16,Delayed - carrier exception,"Raleigh, NC"
ORD100089,UPS,DH8738351331,2025-12-04,2025-12-13,Returned to Sender,"Boston, MA"
ORD100090,UPS,FE2346406906,2025-11-29,2025-12-04,Returned to Sender,"Minneapolis, MN"
ORD100091,DHL,FE1735904793,2026-01-26,2026-02-04,In Transit,"Portland, OR"
ORD100093,USPS,US2748661598,2025-09-04,2025-09-13,Returned to Sender,"Atlanta, GA"
ORD100095,DHL,DH8286047197,2025-11-01,2025-11-09,Returned to Sender,"Minneapolis, MN"
ORD100097,FedEx,US3603434915,2025-12-11,2025-12-18,Returned to Sender,"Portland, OR"
ORD100098,DHL,US7714600261,2026-07-15,2026-07-17,Returned to Sender,"Phoenix, AZ"
ORD100099,USPS,UP9123659061,2025-11-06,2025-11-10,Returned to Sender,"Columbus, OH"
ORD100100,USPS,FE3226892666,2026-04-16,2026-04-22,In Transit,"Salt Lake City, UT"
ORD100102,USPS,FE9251167540,2026-01-20,2026-01-28,Returned to Sender,"Austin, TX"
ORD100103,UPS,US2375748554,2026-04-25,2026-05-03,In Transit,"Minneapolis, MN"
ORD100104,DHL,US4001759769,2025-12-28,2026-01-05,Delivered,"Atlanta, GA"
ORD100105,FedEx,DH4002968632,2025-11-05,2025-11-10,Delivered,"Phoenix, AZ"
ORD100106,USPS,FE4884350399,2026-03-22,2026-03-25,Delivered,"Salt Lake City, UT"
ORD100107,USPS,UP9219434313,2026-01-17,2026-01-25,Delivered,"Raleigh, NC"
ORD100108,DHL,UP1957668578,2026-03-01,2026-03-03,Delivered,"San Diego, CA"
ORD100109,USPS,US2123130491,2025-10-22,2025-10-30,Returned to Sender,"Atlanta, GA"
ORD100110,FedEx,FE6333283561,2025-11-11,2025-11-19,Delivered,"Seattle, WA"
ORD100112,DHL,UP9361533765,2025-08-24,2025-08-26,Delivered,"Boston, MA"
ORD100113,UPS,UP2363882153,2025-11-04,2025-11-10,Delivered,"Miami, FL"
ORD100115,DHL,FE4680799911,2025-08-21,2025-08-23,Delivered,"Nashville, TN"
ORD100116,DHL,DH6368890859,2026-05-16,2026-05-22,Returned to Sender,"Raleigh, NC"
ORD100117,UPS,US4178299775,2026-04-02,2026-04-10,Delivered,"Atlanta, GA"
ORD100118,DHL,DH9090093992,2025-10-12,2025-10-19,Delayed - carrier exception,"Chicago, IL"
ORD100119,USPS,DH7048207695,2026-03-15,2026-03-20,Delivered,"Nashville, TN"
ORD100120,UPS,UP4822197299,2026-02-19,2026-02-27,Out for Delivery,"Austin, TX"
ORD100121,UPS,DH4439567874,2026-04-23,2026-04-27,Out for Delivery,"Atlanta, GA"
ORD100122,FedEx,FE1368293703,2026-03-29,2026-03-31,Delivered,"Raleigh, NC"
ORD100123,USPS,FE9200147452,2025-08-27,2025-08-31,Returned to Sender,"Chicago, IL"
ORD100124,DHL,FE7950497861,2026-03-16,2026-03-20,Delivered,"Seattle, WA"
ORD100125,FedEx,UP9075534103,2026-06-17,2026-06-26,Returned to Sender,"Denver, CO"
ORD100126,USPS,FE9102415894,2025-10-27,2025-11-03,Delivered,"Salt Lake City, UT"
ORD100127,FedEx,US8728010542,2026-06-15,2026-06-22,Delivered,"Atlanta, GA"
ORD100128,FedEx,DH1716752400,2026-05-31,2026-06-06,Delayed - carrier exception,"Miami, FL"
ORD100129,FedEx,US3367704310,2026-01-05,2026-01-14,Delivered,"Raleigh, NC"
ORD100130,FedEx,US8287941438,2026-06-16,2026-06-24,Delivered,"Boston, MA"
ORD100131,DHL,FE9217740012,2026-04-20,2026-04-26,In Transit,"Denver, CO"
ORD100132,FedEx,US3651973404,2025-08-11,2025-08-14,Delivered,"Austin, TX"
ORD100133,FedEx,FE5311464848,2026-03-23,2026-03-26,Delivered,"Seattle, WA"
ORD100134,UPS,DH6094109884,2025-11-15,2025-11-24,Delivered,"Nashville, TN"
ORD100135,UPS,FE1325471606,2026-05-31,2026-06-04,Delivered,"Salt Lake City, UT"
ORD100136,USPS,US4158704317,2025-11-25,2025-11-30,Delivered,"Boston, MA"
ORD100137,DHL,FE2915263394,2026-07-16,2026-07-18,Delivered,"Columbus, OH"
ORD100139,UPS,FE8262208232,2026-04-02,2026-04-07,Delivered,"Columbus, OH"
ORD100142,DHL,DH5938782145,2026-02-20,2026-02-23,Delivered,"Austin, TX"
ORD100143,DHL,UP3859542876,2026-04-12,2026-04-21,Delivered,"Boston, MA"
ORD100144,USPS,DH3626916933,2025-09-05,2025-09-09,Delivered,"Phoenix, AZ"
ORD100145,USPS,DH2057033765,2025-12-22,2025-12-24,Delivered,"Portland, OR"
ORD100146,UPS,US4914351005,2026-01-09,2026-01-14,In Transit,"Salt Lake City, UT"
ORD100147,USPS,FE7568016720,2025-12-06,2025-12-10,Delivered,"Columbus, OH"
ORD100149,USPS,US3598804887,2025-08-31,2025-09-04,Delivered,"Minneapolis, MN"
ORD100150,USPS,UP5913698582,2025-11-08,2025-11-10,Delivered,"Atlanta, GA"
ORD100151,DHL,US6469864421,2026-06-27,2026-07-01,Delivered,"Columbus, OH"
ORD100152,USPS,DH2584078422,2026-06-06,2026-06-08,Delivered,"Nashville, TN"
ORD100153,FedEx,FE4065164092,2026-02-10,2026-02-16,Delivered,"Phoenix, AZ"
ORD100154,USPS,US2452377785,2025-09-03,2025-09-06,Delivered,"Minneapolis, MN"
ORD100155,FedEx,UP2926284873,2025-09-05,2025-09-09,In Transit,"Miami, FL"
ORD100156,FedEx,FE4738696633,2025-12-13,2025-12-18,Delivered,"Portland, OR"
ORD100157,FedEx,FE1154642818,2026-02-16,2026-02-24,Delivered,"Miami, FL"
ORD100160,USPS,US2686343515,2026-05-12,2026-05-19,Delayed - carrier exception,"Chicago, IL"
ORD100161,FedEx,UP8504480573,2025-08-14,2025-08-22,Delivered,"Minneapolis, MN"
ORD100162,UPS,US6181245405,2026-05-31,2026-06-02,Delivered,"Chicago, IL"
ORD100165,USPS,FE6497466569,2025-08-05,2025-08-13,Delivered,"San Diego, CA"
ORD100168,DHL,DH1128411449,2026-07-21,2026-07-26,Delivered,"Denver, CO"
ORD100170,FedEx,FE5498095763,2025-12-21,2025-12-30,Out for Delivery,"Minneapolis, MN"
ORD100171,USPS,DH7020595806,2026-02-05,2026-02-09,Delivered,"Phoenix, AZ"
ORD100172,UPS,US9266605491,2025-12-27,2026-01-02,Delivered,"Salt Lake City, UT"
ORD100173,UPS,UP2702311064,2026-05-05,2026-05-09,Delivered,"Nashville, TN"
ORD100174,UPS,US3101012094,2026-04-15,2026-04-19,In Transit,"San Diego, CA"
ORD100175,DHL,FE8060506476,2026-02-07,2026-02-14,Out for Delivery,"San Diego, CA"
ORD100177,USPS,FE1889433605,2026-02-23,2026-02-25,In Transit,"Austin, TX"
ORD100178,USPS,US6960329328,2025-09-04,2025-09-06,Returned to Sender,"San Diego, CA"
ORD100179,DHL,DH4306211706,2026-06-13,2026-06-19,Delivered,"San Diego, CA"
ORD100180,FedEx,DH2449047673,2026-06-13,2026-06-16,Delivered,"Chicago, IL"
ORD100181,UPS,FE2908812198,2025-08-17,2025-08-19,Delivered,"Raleigh, NC"
ORD100182,DHL,US4665991072,2025-12-20,2025-12-29,In Transit,"Seattle, WA"
ORD100183,UPS,DH5483407610,2026-01-16,2026-01-18,Delivered,"Boston, MA"
ORD100184,DHL,US2846721961,2026-07-15,2026-07-17,Delivered,"Portland, OR"
ORD100185,FedEx,FE6831030525,2026-06-23,2026-07-01,Delivered,"Denver, CO"
ORD100186,USPS,DH2774920001,2025-12-03,2025-12-10,Delivered,"Miami, FL"
ORD100187,USPS,FE4485201635,2025-11-13,2025-11-15,Delivered,"Denver, CO"
ORD100188,UPS,UP5586999381,2026-04-04,2026-04-07,Delivered,"Seattle, WA"
ORD100189,DHL,FE9034461003,2026-05-17,2026-05-19,Returned to Sender,"Minneapolis, MN"
ORD100190,DHL,UP7533755475,2025-11-08,2025-11-12,Delayed - carrier exception,"Portland, OR"
ORD100192,USPS,DH7491585197,2026-02-06,2026-02-13,Out for Delivery,"Salt Lake City, UT"
ORD100193,FedEx,US7997023025,2026-07-19,2026-07-26,Delivered,"Miami, FL"
ORD100195,USPS,UP2379296495,2025-11-08,2025-11-12,Out for Delivery,"Minneapolis, MN"
ORD100196,DHL,US6349956494,2026-04-24,2026-04-28,Delivered,"Salt Lake City, UT"
ORD100197,DHL,FE1285814650,2026-05-18,2026-05-21,Delivered,"Boston, MA"
ORD100198,USPS,FE9510811156,2026-04-12,2026-04-20,Delayed - carrier exception,"Chicago, IL"
ORD100199,FedEx,FE4638587707,2026-05-31,2026-06-03,Delivered,"Phoenix, AZ"
ORD100200,FedEx,US8385505320,2026-05-03,2026-05-05,Delivered,"Austin, TX"
ORD100202,USPS,DH1534995217,2025-08-11,2025-08-15,Delivered,"Denver, CO"
ORD100204,FedEx,DH8354809424,2026-07-09,2026-07-14,Delayed - carrier exception,"Denver, CO"
ORD100205,DHL,DH8895090298,2026-02-13,2026-02-20,Delivered,"Austin, TX"
ORD100206,USPS,UP9064791382,2025-10-13,2025-10-19,Delivered,"Chicago, IL"
ORD100207,DHL,DH9199900162,2025-12-03,2025-12-05,In Transit,"Portland, OR"
ORD100208,FedEx,DH2565824150,2026-01-25,2026-01-30,Delivered,"Nashville, TN"
ORD100209,DHL,US1798950117,2026-07-28,2026-08-03,Returned to Sender,"Seattle, WA"
ORD100210,DHL,DH4843660761,2026-04-25,2026-04-29,Delivered,"Atlanta, GA"
ORD100212,UPS,US9678917545,2026-03-24,2026-03-31,Returned to Sender,"Nashville, TN"
ORD100213,USPS,DH6350622684,2026-02-17,2026-02-24,Delivered,"Columbus, OH"
ORD100214,DHL,DH8414122611,2026-07-31,2026-08-06,Returned to Sender,"Portland, OR"
ORD100215,USPS,US9178327285,2026-06-27,2026-07-02,Delayed - carrier exception,"Denver, CO"
ORD100217,DHL,US7385653598,2025-10-14,2025-10-19,Delivered,"Salt Lake City, UT"
ORD100219,DHL,FE6808867808,2026-01-27,2026-02-05,Delivered,"Austin, TX"
ORD100221,USPS,US2580408536,2026-04-18,2026-04-27,Delivered,"Phoenix, AZ"
ORD100222,DHL,US1618266889,2025-10-03,2025-10-10,In Transit,"Raleigh, NC"
ORD100223,UPS,DH4793171654,2025-09-16,2025-09-21,Delivered,"Boston, MA"
ORD100224,FedEx,DH9403205543,2025-12-10,2025-12-19,Delivered,"Denver, CO"
ORD100225,FedEx,DH7371137170,2026-01-18,2026-01-23,In Transit,"Chicago, IL"
ORD100226,UPS,UP5106748068,2026-01-01,2026-01-04,Returned to Sender,"Nashville, TN"
ORD100227,UPS,DH3847057976,2025-09-20,2025-09-23,Delivered,"Chicago, IL"
ORD100228,USPS,UP9580479302,2026-03-12,2026-03-19,Delivered,"Denver, CO"
ORD100229,USPS,DH4664460061,2026-05-28,2026-06-04,Delivered,"Seattle, WA"
ORD100231,FedEx,FE6625408114,2025-08-03,2025-08-10,Delivered,"Raleigh, NC"
ORD100232,FedEx,DH2116615149,2025-09-11,2025-09-17,Delivered,"Seattle, WA"
ORD100233,DHL,DH7480572559,2026-04-22,2026-04-26,Delivered,"San Diego, CA"
ORD100234,UPS,FE1341248580,2026-02-21,2026-03-02,Out for Delivery,"Seattle, WA"
ORD100235,USPS,UP8381504644,2025-10-15,2025-10-22,Delivered,"San Diego, CA"
ORD100236,USPS,FE1210076241,2026-06-25,2026-07-03,Out for Delivery,"Chicago, IL"
ORD100237,UPS,US8333160749,2026-02-17,2026-02-24,Out for Delivery,"Portland, OR"
ORD100238,UPS,UP6070264390,2026-05-17,2026-05-19,Delivered,"Salt Lake City, UT"
ORD100239,UPS,UP5929788567,2026-06-19,2026-06-28,Delivered,"Minneapolis, MN"
ORD100240,FedEx,DH2960379288,2026-04-17,2026-04-22,Returned to Sender,"Boston, MA"
ORD100242,FedEx,UP1174135798,2026-01-09,2026-01-17,Out for Delivery,"Atlanta, GA"
ORD100243,USPS,FE3491838012,2025-12-02,2025-12-10,Returned to Sender,"Austin, TX"
ORD100244,DHL,FE3061002426,2025-12-25,2025-12-27,Delivered,"Raleigh, NC"
ORD100245,FedEx,US1294590834,2025-12-10,2025-12-14,Delivered,"Phoenix, AZ"
ORD100247,FedEx,FE5261135749,2026-04-03,2026-04-09,Delivered,"San Diego, CA"
ORD100248,DHL,DH8781662243,2025-10-22,2025-10-24,Delivered,"Phoenix, AZ"
ORD100250,FedEx,US8997258500,2025-11-10,2025-11-17,Delivered,"Boston, MA"
ORD100251,FedEx,US6351690646,2025-09-20,2025-09-27,Delivered,"Denver, CO"
ORD100252,DHL,UP6500427536,2025-12-28,2026-01-03,Returned to Sender,"Nashville, TN"
ORD100254,FedEx,FE9481010313,2026-01-16,2026-01-19,Returned to Sender,"Phoenix, AZ"
ORD100256,DHL,FE9065795118,2026-05-10,2026-05-16,Delivered,"Denver, CO"
ORD100257,USPS,DH3327719428,2025-12-15,2025-12-24,Delivered,"Minneapolis, MN"
ORD100260,DHL,UP6552131311,2025-08-03,2025-08-08,In Transit,"Columbus, OH"
ORD100261,DHL,UP8502387169,2026-02-27,2026-03-01,Delivered,"Denver, CO"
ORD100262,DHL,UP5145587885,2025-11-02,2025-11-05,Returned to Sender,"Raleigh, NC"
ORD100263,UPS,DH1620123277,2026-05-22,2026-05-25,Delayed - carrier exception,"Phoenix, AZ"
ORD100264,UPS,UP6183086934,2026-02-05,2026-02-14,Out for Delivery,"Raleigh, NC"
ORD100265,FedEx,DH7546741316,2026-07-06,2026-07-08,Delivered,"Minneapolis, MN"
ORD100266,DHL,US6258396060,2025-12-26,2025-12-29,Delivered,"Columbus, OH"
ORD100268,USPS,US3963131673,2026-02-12,2026-02-18,In Transit,"San Diego, CA"
ORD100269,UPS,UP7990142324,2026-04-21,2026-04-27,Returned to Sender,"Atlanta, GA"
ORD100270,USPS,UP7995844776,2025-10-16,2025-10-24,Delivered,"Atlanta, GA"
ORD100271,USPS,US6727034720,2026-05-17,2026-05-19,Delivered,"Nashville, TN"
ORD100272,FedEx,FE1582918332,2025-08-08,2025-08-17,Delivered,"Boston, MA"
ORD100275,DHL,UP8712568483,2025-12-06,2025-12-08,Out for Delivery,"Salt Lake City, UT"
ORD100276,USPS,DH1705638884,2025-09-16,2025-09-23,Delivered,"Salt Lake City, UT"
ORD100278,FedEx,UP8563835154,2025-11-15,2025-11-19,Delivered,"Austin, TX"
ORD100279,DHL,FE1676604772,2025-10-19,2025-10-23,Delivered,"Raleigh, NC"
ORD100281,USPS,US3603958409,2026-04-28,2026-05-07,Returned to Sender,"Atlanta, GA"
ORD100282,UPS,FE7353638232,2025-11-10,2025-11-13,Delivered,"Minneapolis, MN"
ORD100283,FedEx,FE3372012966,2026-07-30,2026-08-04,In Transit,"Salt Lake City, UT"
ORD100284,UPS,UP3732670325,2025-09-16,2025-09-24,Delivered,"Portland, OR"
ORD100286,UPS,DH5716993348,2025-12-21,2025-12-24,Delivered,"Denver, CO"
ORD100287,USPS,US2120144951,2026-06-28,2026-07-01,Returned to Sender,"Minneapolis, MN"
ORD100288,USPS,FE6644075095,2025-10-14,2025-10-18,Delivered,"Nashville, TN"
ORD100289,USPS,US5675881740,2026-03-11,2026-03-16,Delivered,"Boston, MA"
ORD100290,UPS,US5505411721,2026-04-28,2026-05-04,Delivered,"Miami, FL"
ORD100292,FedEx,FE6977205339,2025-11-16,2025-11-20,In Transit,"Seattle, WA"
ORD100293,UPS,FE7011703161,2026-05-13,2026-05-18,Delivered,"Boston, MA"
ORD100294,USPS,UP1088946090,2025-09-02,2025-09-08,Out for Delivery,"Boston, MA"
ORD100295,FedEx,DH2674525521,2026-02-04,2026-02-13,Delivered,"Nashville, TN"
ORD100297,USPS,FE4315873227,2025-11-04,2025-11-10,Delivered,"Nashville, TN"
ORD100298,USPS,FE3744833247,2025-12-02,2025-12-04,Delivered,"Raleigh, NC"
ORD100299,USPS,FE1438841120,2025-11-30,2025-12-06,Returned to Sender,"Columbus, OH"
ORD100300,UPS,DH1931072706,2026-03-20,2026-03-23,Delivered,"Raleigh, NC"
ORD100302,UPS,UP4523371522,2026-04-13,2026-04-15,Returned to Sender,"Austin, TX"
ORD100303,DHL,US8313636100,2026-05-29,2026-05-31,In Transit,"Chicago, IL"
ORD100305,USPS,UP6288605866,2026-06-10,2026-06-16,In Transit,"Denver, CO"
ORD100306,UPS,DH6476167767,2025-08-15,2025-08-19,Returned to Sender,"Denver, CO"
ORD100307,USPS,FE2449516299,2025-09-17,2025-09-19,Delivered,"Nashville, TN"
ORD100308,FedEx,FE5053796127,2026-03-09,2026-03-13,Out for Delivery,"Boston, MA"
ORD100309,UPS,FE5092187695,2026-04-24,2026-04-27,Delivered,"Phoenix, AZ"
ORD100310,DHL,DH6427906903,2026-01-23,2026-01-26,In Transit,"Portland, OR"
ORD100312,USPS,FE1229352711,2025-12-30,2026-01-04,Delivered,"Raleigh, NC"
ORD100313,UPS,FE4467433849,2026-07-20,2026-07-26,In Transit,"Columbus, OH"
ORD100314,USPS,UP2066014392,2026-07-29,2026-08-07,Delayed - carrier exception,"Denver, CO"
ORD100315,UPS,UP9457263254,2025-12-28,2026-01-02,In Transit,"Denver, CO"
ORD100316,DHL,FE8052061218,2025-08-30,2025-09-02,Delivered,"Portland, OR"
ORD100317,UPS,UP3850066815,2026-01-07,2026-01-14,Delivered,"Raleigh, NC"
ORD100319,DHL,US4561449985,2026-02-01,2026-02-09,Out for Delivery,"Columbus, OH"
ORD100321,USPS,FE4670637658,2025-09-30,2025-10-06,Delivered,"Nashville, TN"
ORD100322,DHL,UP1322366248,2026-04-01,2026-04-03,In Transit,"Denver, CO"
ORD100323,USPS,FE3605042345,2026-06-11,2026-06-13,Returned to Sender,"Columbus, OH"
ORD100324,UPS,FE8430191989,2025-08-28,2025-09-05,Delivered,"Raleigh, NC"
ORD100325,DHL,UP8413204649,2025-12-17,2025-12-21,Delivered,"Austin, TX"
ORD100326,DHL,DH4964641601,2026-07-11,2026-07-20,Delivered,"San Diego, CA"
ORD100327,FedEx,UP6644446656,2026-07-24,2026-08-02,Returned to Sender,"Chicago, IL"
ORD100328,UPS,FE9927495769,2025-11-12,2025-11-14,Delivered,"Chicago, IL"
ORD100329,DHL,US2614826577,2025-09-27,2025-10-01,Delayed - carrier exception,"Portland, OR"
ORD100331,FedEx,UP2940202689,2025-08-25,2025-08-31,In Transit,"Atlanta, GA"
ORD100333,DHL,UP6125551262,2026-07-09,2026-07-12,Delivered,"Salt Lake City, UT"
ORD100334,FedEx,UP9572389939,2025-10-26,2025-10-31,Delivered,"Salt Lake City, UT"
ORD100335,FedEx,DH5557342313,2025-11-26,2025-12-04,In Transit,"Raleigh, NC"
ORD100336,UPS,US1683832465,2025-11-30,2025-12-04,In Transit,"Seattle, WA"
ORD100337,UPS,FE5890868629,2025-08-09,2025-08-12,Delivered,"Miami, FL"
ORD100338,FedEx,US4429037896,2026-05-31,2026-06-04,Delivered,"Seattle, WA"
ORD100340,DHL,FE1768980818,2026-05-11,2026-05-13,In Transit,"San Diego, CA"
ORD100342,DHL,DH3327772552,2026-06-13,2026-06-22,Returned to Sender,"Portland, OR"
ORD100343,FedEx,US5297778886,2026-03-11,2026-03-20,Delivered,"San Diego, CA"
ORD100344,USPS,DH3444667393,2026-06-17,2026-06-25,Out for Delivery,"San Diego, CA"
ORD100346,USPS,UP3741482851,2025-12-06,2025-12-10,Delivered,"Phoenix, AZ"
ORD100348,USPS,DH3471511796,2026-05-08,2026-05-17,Delivered,"Seattle, WA"
ORD100349,USPS,FE2393185834,2025-11-21,2025-11-29,Delivered,"Phoenix, AZ"
ORD100350,FedEx,FE9220053705,2026-04-08,2026-04-11,Delivered,"Salt Lake City, UT"
ORD100351,DHL,US5673814572,2025-08-24,2025-08-31,Delivered,"Chicago, IL"
ORD100353,UPS,FE1374250708,2026-04-25,2026-05-01,Delayed - carrier exception,"Nashville, TN"
ORD100354,UPS,DH5323857534,2026-03-22,2026-03-24,Out for Delivery,"Columbus, OH"
ORD100355,FedEx,US8534618164,2026-04-21,2026-04-29,Delivered,"Boston, MA"
ORD100356,USPS,US5848575020,2026-01-01,2026-01-09,In Transit,"Phoenix, AZ"
ORD100357,UPS,FE5116560057,2025-09-12,2025-09-17,Delivered,"Columbus, OH"
ORD100358,DHL,UP3929145961,2025-09-28,2025-10-03,Delivered,"Raleigh, NC"
ORD100359,UPS,DH9372856246,2026-04-24,2026-04-28,In Transit,"Portland, OR"
ORD100362,FedEx,FE3231624631,2025-09-01,2025-09-03,In Transit,"Boston, MA"
ORD100363,FedEx,DH6798582529,2025-10-20,2025-10-29,Delivered,"Boston, MA"
ORD100364,FedEx,DH5734127482,2026-02-01,2026-02-08,Delivered,"Seattle, WA"
ORD100365,UPS,UP4977513978,2025-11-01,2025-11-10,Delivered,"Minneapolis, MN"
