order_id,customer_id,order_date,items,order_total,payment_method,order_status
ORD100034,CUST00605,2025-09-29,PROD0183:4:73.54|PROD0256:5:7.79,333.11,Visa,Cancelled
ORD100035,CUST01074,2025-11-23,PROD0187:4:21.11|PROD0017:1:145.85,230.29,Store Credit,Returned
ORD100036,CUST00206,2025-10-31,PROD0126:4:82.81|PROD0117:2:34.38,400.0,Store Credit,Delivered
ORD100037,CUST00069,2026-05-25,PROD0245:1:74.39|PROD0238:5:88.09,514.84,Visa,Cancelled
ORD100038,CUST01072,2025-09-05,PROD0060:4:25.69,102.76,Mastercard,Delivered
ORD100039,CUST00989,2025-09-25,PROD0227:5:148.49|PROD0100:5:81.87,1151.8,Visa,Processing
ORD100040,CUST00126,2026-06-02,PROD0091:3:94.44,283.32,Store Credit,Shipped
ORD100041,CUST00374,2026-04-05,PROD0261:4:78.93,315.72,Mastercard,Delivered
ORD100042,CUST00768,2025-10-31,PROD0056:2:242.05,484.1,Store Credit,Delivered
ORD100043,CUST00431,2026-05-18,PROD0166:2:36.87|PROD0081:4:27.98,185.66,Mastercard,Processing
ORD100044,CUST00869,2026-01-12,PROD0243:3:47.44|PROD0214:4:21.47|PROD0138:3:18.75|PROD0118:3:5.27,300.26,Amex,Delivered
ORD100045,CUST00070,2026-02-28,PROD0207:1:26.58,26.58,Amex,Returned
ORD100046,CUST00816,2025-12-27,PROD0013:4:24.34|PROD0165:3:38.86|PROD0219:5:122.77,827.79,Mastercard,Shipped
ORD100047,CUST00237,2026-04-01,PROD0241:2:95.92|PROD0024:3:45.08|PROD0200:5:39.66|PROD0250:5:8.48,567.78,Visa,Delivered
ORD100048,CUST00714,2025-09-05,PROD0212:2:40.49,80.98,Store Credit,Cancelled
ORD100049,CUST01078,2026-05-13,PROD0126:3:82.81,248.43,Apple Pay,Shipped
ORD100050,CUST00914,2025-11-16,PROD0240:2:55.35,110.7,Amex,Delivered
ORD100051,CUST00700,2025-08-23,PROD0031:1:213.56|PROD0263:5:22.13|PROD0192:4:129.12,840.69,Store Credit,Returned
ORD100052,CUST00272,2025-09-25,PROD0263:1:22.13,22.13,PayPal,Shipped
ORD100053,CUST00863,2025-10-15,PROD0038:5:153.69|PROD0094:3:136.82,1178.91,Apple Pay,Delivered
ORD100054,CUST00935,2026-02-14,PROD0116:3:9.23,27.69,Amex,Delivered
ORD100055,CUST00423,2026-01-03,PROD0014:5:232.45,1162.25,Visa,Shipped
ORD100056,CUST01078,2026-01-01,PROD0139:2:31.77,63.54,Mastercard,Returned
ORD100057,CUST00957,2025-11-13,PROD0229:4:30.85,123.4,Mastercard,Delivered
ORD100058,CUST00734,2026-01-08,PROD0108:1:128.9,128.9,Amex,Processing
ORD100059,CUST00239,2025-09-25,PROD0009:4:31.16|PROD0004:1:9.47|PROD0195:3:16.36|PROD0216:3:7.93,206.98,Visa,Returned
ORD100060,CUST01172,2026-06-26,PROD0024:2:45.08|PROD0073:5:197.85|PROD0128:1:112.67,1192.08,Mastercard,Delivered
ORD100061,CUST00045,2025-10-18,PROD0090:5:15.79,78.95,Apple Pay,Returned
ORD100062,CUST00853,2026-06-15,PROD0136:5:75.27,376.35,Visa,Delivered
ORD100063,CUST00070,2026-06-01,PROD0087:1:72.87|PROD0081:1:27.98,100.85,Mastercard,Delivered
ORD100064,CUST00002,2026-01-05,PROD0132:2:14.3,28.6,Store Credit,Delivered
ORD100065,CUST00734,2025-10-11,PROD0043:1:53.62,53.62,Amex,Processing
ORD100066,CUST00216,2025-12-04,PROD0095:3:26.42,79.26,PayPal,Delivered
ORD100067,CUST01158,2025-08-16,PROD0198:2:74.76|PROD0025:2:16.49,182.5,Apple Pay,Delivered
ORD100068,CUST00692,2026-01-22,PROD0296:4:70.76,283.04,Mastercard,Delivered
ORD100069,CUST00186,2026-01-18,PROD0096:3:50.63,151.89,PayPal,Delivered
ORD100070,CUST00874,2026-06-23,PROD0279:2:19.87,39.74,PayPal,Delivered
ORD100071,CUST00354,2026-05-09,PROD0043:5:53.62|PROD0259:2:27.72|PROD0094:2:136.82|PROD0204:2:171.38,939.94,Mastercard,Processing
ORD100072,CUST00725,2026-04-25,PROD0078:5:167.27|PROD0289:5:44.66,1059.65,Store Credit,Delivered
ORD100073,CUST01072,2026-06-19,PROD0116:5:9.23|PROD0078:4:167.27|PROD0277:2:30.38,775.99,PayPal,Delivered
ORD100074,CUST00970,2025-07-30,PROD0285:3:33.77,101.31,Apple Pay,Delivered
ORD100075,CUST00497,2026-02-15,PROD0215:5:59.37|PROD0201:2:12.0,320.85,Amex,Delivered
ORD100076,CUST00711,2025-12-18,PROD0006:5:6.78|PROD0061:3:25.67,110.91,Apple Pay,Shipped
ORD100077,CUST00532,2026-03-19,PROD0175:3:37.15,111.45,Visa,Returned
ORD100078,CUST00998,2025-12-26,PROD0053:1:30.53,30.53,Store Credit,Returned
ORD100079,CUST00822,2025-12-20,PROD0142:3:68.42|PROD0129:4:19.99|PROD0261:3:78.93,522.01,Visa,Returned
ORD100080,CUST00354,2026-07-05,PROD0250:5:8.48,42.4,Store Credit,Shipped
ORD100081,CUST00070,2025-11-29,PROD0216:4:7.93,31.72,Visa,Processing
ORD100082,CUST00864,2026-03-12,PROD0294:4:28.58|PROD0268:4:34.77|PROD0020:1:33.7,287.1,Mastercard,Delivered
ORD100083,CUST00520,2026-01-29,PROD0177:3:58.87|PROD0181:4:4.29|PROD0128:1:112.67,306.44,Apple Pay,Delivered
ORD100084,CUST00714,2025-10-26,PROD0046:5:33.24|PROD0171:5:115.91|PROD0181:2:4.29,754.33,Amex,Delivered
ORD100085,CUST01155,2026-02-10,PROD0249:3:9.97,29.91,PayPal,Delivered
ORD100086,CUST00059,2026-04-15,PROD0287:5:49.41|PROD0152:5:34.78,420.95,Store Credit,Delivered
ORD100087,CUST00299,2026-01-20,PROD0204:2:171.38,342.76,Visa,Cancelled
ORD100088,CUST00602,2026-06-09,PROD0043:2:53.62|PROD0166:4:36.87,254.72,Mastercard,Delayed
ORD100089,CUST00449,2025-12-02,PROD0226:1:121.6|PROD0111:3:31.83|PROD0075:2:42.82,302.73,Store Credit,Returned
ORD100090,CUST01115,2025-11-27,PROD0183:1:73.54,73.54,Mastercard,Returned
ORD100091,CUST00467,2026-01-24,PROD0284:4:36.34|PROD0115:3:182.29,692.23,Visa,Shipped
ORD100092,CUST00110,2026-06-27,PROD0178:4:137.06,548.24,Mastercard,Cancelled
ORD100093,CUST00128,2025-09-01,PROD0142:5:68.42|PROD0292:4:56.02|PROD0130:4:30.13|PROD0015:2:33.9,754.5,Mastercard,Returned
ORD100094,CUST00645,2025-08-02,PROD0028:5:89.71|PROD0184:1:76.1|PROD0062:5:20.08|PROD0037:4:94.05,1001.25,Apple Pay,Processing
ORD100095,CUST00559,2025-10-29,PROD0016:3:12.58|PROD0254:1:110.83|PROD0062:1:20.08,168.65,Store Credit,Returned
ORD100096,CUST00245,2025-10-31,PROD0182:2:235.58,471.16,Amex,Processing
ORD100097,CUST00022,2025-12-10,PROD0117:3:34.38,103.14,Apple Pay,Returned
ORD100098,CUST00122,2026-07-14,PROD0087:1:72.87,72.87,Store Credit,Returned
ORD100099,CUST00354,2025-11-03,PROD0256:5:7.79|PROD0094:2:136.82,312.59,Visa,Returned
ORD100100,CUST00364,2026-04-15,PROD0228:1:11.51,11.51,Store Credit,Shipped
ORD100101,CUST01020,2025-11-05,PROD0173:5:42.3|PROD0233:4:82.05,539.7,Visa,Processing
ORD100102,CUST00972,2026-01-19,PROD0073:2:197.85,395.7,PayPal,Returned
ORD100103,CUST00203,2026-04-22,PROD0165:5:38.86,194.3,Apple Pay,Shipped
ORD100104,CUST00740,2025-12-26,PROD0219:1:122.77|PROD0207:4:26.58|PROD0223:1:26.93|PROD0194:4:48.76,451.06,Store Credit,Delivered
ORD100105,CUST00241,2025-11-03,PROD0158:3:22.41|PROD0293:1:26.46|PROD0278:5:43.45|PROD0089:1:58.99,369.93,Amex,Delivered
ORD100106,CUST00203,2026-03-21,PROD0114:4:67.83|PROD0164:2:106.62|PROD0038:5:153.69|PROD0105:5:114.17,1823.86,PayPal,Delivered
ORD100107,CUST01049,2026-01-15,PROD0200:1:39.66|PROD0117:2:34.38|PROD0191:2:66.03|PROD0206:5:37.39,427.43,Apple Pay,Delivered
ORD100108,CUST00281,2026-02-27,PROD0194:4:48.76|PROD0143:3:209.56|PROD0098:5:87.67,1262.07,Apple Pay,Delivered
ORD100109,CUST01004,2025-10-19,PROD0251:5:9.74|PROD0035:3:186.35|PROD0094:2:136.82,881.39,Amex,Returned
ORD100110,CUST00809,2025-11-10,PROD0285:5:33.77|PROD0255:1:175.96|PROD0103:4:35.6|PROD0066:4:117.07,955.49,Mastercard,Delivered
ORD100111,CUST00092,2025-10-11,PROD0022:5:55.37,276.85,Mastercard,Processing
ORD100112,CUST00652,2025-08-21,PROD0079:3:107.7|PROD0175:2:37.15,397.4,Mastercard,Delivered
ORD100113,CUST00756,2025-11-01,PROD0172:1:30.66|PROD0225:4:129.56,548.9,Mastercard,Delivered
ORD100114,CUST00972,2026-02-24,PROD0009:5:31.16,155.8,Apple Pay,Processing
ORD100115,CUST00759,2025-08-18,PROD0054:2:55.49,110.98,Visa,Delivered
ORD100116,CUST00073,2026-05-14,PROD0011:4:22.2,88.8,Apple Pay,Returned
ORD100117,CUST00932,2026-04-01,PROD0079:3:107.7|PROD0233:2:82.05|PROD0275:2:91.6,670.4,Apple Pay,Delivered
ORD100118,CUST00970,2025-10-11,PROD0211:5:15.2,76.0,PayPal,Delayed
ORD100119,CUST01036,2026-03-14,PROD0238:4:88.09|PROD0187:2:21.11|PROD0173:5:42.3|PROD0167:2:13.38,632.84,Apple Pay,Delivered
ORD100120,CUST00636,2026-02-16,PROD0056:5:242.05,1210.25,Amex,Out for Delivery
ORD100121,CUST00683,2026-04-20,PROD0227:1:148.49,148.49,PayPal,Out for Delivery
ORD100122,CUST00060,2026-03-26,PROD0067:4:11.15,44.6,Store Credit,Delivered
ORD100123,CUST00989,2025-08-26,PROD0047:3:58.31,174.93,Amex,Returned
ORD100124,CUST00935,2026-03-15,PROD0090:3:15.79,47.37,Store Credit,Delivered
ORD100125,CUST00631,2026-06-16,PROD0144:2:37.09,74.18,Apple Pay,Returned
ORD100126,CUST00719,2025-10-25,PROD0186:5:24.16|PROD0226:5:121.6,728.8,Visa,Delivered
ORD100127,CUST00714,2026-06-14,PROD0202:2:14.1,28.2,Apple Pay,Delivered
ORD100128,CUST00873,2026-05-28,PROD0087:3:72.87,218.61,Mastercard,Delayed
ORD100129,CUST01052,2026-01-02,PROD0222:3:52.54,157.62,Apple Pay,Delivered
ORD100130,CUST00286,2026-06-14,PROD0294:1:28.58,28.58,Mastercard,Delivered
ORD100131,CUST00384,2026-04-18,PROD0218:2:151.18|PROD0209:3:12.86|PROD0176:3:106.09,659.21,PayPal,Shipped
ORD100132,CUST00233,2025-08-10,PROD0055:2:32.88|PROD0125:3:19.13|PROD0039:1:35.25,158.4,Mastercard,Delivered
ORD100133,CUST00745,2026-03-22,PROD0170:5:12.14|PROD0055:1:32.88,93.58,Mastercard,Delivered
ORD100134,CUST00478,2025-11-14,PROD0041:4:26.94,107.76,Store Credit,Delivered
ORD100135,CUST00592,2026-05-29,PROD0032:5:22.58|PROD0227:1:148.49|PROD0095:1:26.42,287.81,Mastercard,Delivered
ORD100136,CUST00314,2025-11-23,PROD0152:5:34.78,173.9,Apple Pay,Delivered
ORD100137,CUST00319,2026-07-14,PROD0083:1:12.63,12.63,PayPal,Delivered
ORD100138,CUST00181,2026-01-09,PROD0186:5:24.16|PROD0034:3:6.64,140.72,Amex,Processing
ORD100139,CUST00957,2026-04-01,PROD0154:4:191.73,766.92,Apple Pay,Delivered
ORD100140,CUST01039,2026-03-23,PROD0207:4:26.58,106.32,PayPal,Cancelled
ORD100141,CUST00052,2026-02-12,PROD0013:2:24.34,48.68,PayPal,Processing
ORD100142,CUST00306,2026-02-19,PROD0223:2:26.93,53.86,Mastercard,Delivered
ORD100143,CUST00872,2026-04-10,PROD0156:5:41.63,208.15,Mastercard,Delivered
ORD100144,CUST00896,2025-09-02,PROD0245:5:74.39|PROD0149:4:111.96|PROD0073:2:197.85|PROD0121:4:31.31,1340.73,Amex,Delivered
ORD100145,CUST00042,2025-12-21,PROD0192:2:129.12,258.24,PayPal,Delivered
ORD100146,CUST00479,2026-01-06,PROD0244:5:28.97|PROD0144:3:37.09,256.12,Amex,Shipped
ORD100147,CUST00486,2025-12-04,PROD0241:1:95.92,95.92,Visa,Delivered
ORD100148,CUST01183,2025-12-13,PROD0200:2:39.66,79.32,Amex,Processing
ORD100149,CUST00746,2025-08-29,PROD0115:1:182.29,182.29,Store Credit,Delivered
ORD100150,CUST00790,2025-11-06,PROD0259:3:27.72,83.16,PayPal,Delivered
ORD100151,CUST01199,2026-06-24,PROD0041:4:26.94|PROD0189:2:116.79,341.34,PayPal,Delivered
ORD100152,CUST00529,2026-06-05,PROD0084:5:98.15,490.75,Visa,Delivered
ORD100153,CUST00065,2026-02-07,PROD0223:4:26.93|PROD0166:2:36.87,181.46,Visa,Delivered
ORD100154,CUST00286,2025-09-02,PROD0053:5:30.53,152.65,Apple Pay,Delivered
ORD100155,CUST00763,2025-09-03,PROD0280:1:218.73,218.73,Apple Pay,Shipped
ORD100156,CUST00336,2025-12-10,PROD0029:5:81.59,407.95,Apple Pay,Delivered
ORD100157,CUST00314,2026-02-13,PROD0203:5:248.58|PROD0010:3:98.26,1537.68,Apple Pay,Delivered
ORD100158,CUST01164,2025-08-02,PROD0042:5:241.7,1208.5,Store Credit,Cancelled
ORD100159,CUST00337,2026-02-18,PROD0275:1:91.6,91.6,Apple Pay,Cancelled
ORD100160,CUST00562,2026-05-10,PROD0199:2:192.45,384.9,Store Credit,Delayed
ORD100161,CUST01036,2025-08-13,PROD0263:4:22.13,88.52,Visa,Delivered
ORD100162,CUST00439,2026-05-29,PROD0185:2:34.57|PROD0238:5:88.09|PROD0028:3:89.71,778.72,Visa,Delivered
ORD100163,CUST00796,2026-01-13,PROD0201:5:12.0,60.0,PayPal,Processing
ORD100164,CUST00386,2025-12-23,PROD0128:5:112.67|PROD0040:1:6.69,570.04,Visa,Cancelled
ORD100165,CUST00692,2025-08-04,PROD0001:5:121.73|PROD0156:2:41.63|PROD0228:1:11.51|PROD0196:1:161.82,865.24,Apple Pay,Delivered
ORD100166,CUST00970,2025-08-16,PROD0155:4:146.86|PROD0073:2:197.85|PROD0135:1:13.02,996.16,Apple Pay,Cancelled
ORD100167,CUST00063,2026-03-30,PROD0058:1:90.72,90.72,PayPal,Processing
ORD100168,CUST01188,2026-07-20,PROD0139:5:31.77|PROD0012:4:54.17,375.53,Apple Pay,Delivered
ORD100169,CUST00935,2026-03-25,PROD0007:5:167.26,836.3,Apple Pay,Cancelled
ORD100170,CUST00215,2025-12-20,PROD0246:3:61.05|PROD0104:1:24.87,208.02,Mastercard,Out for Delivery
ORD100171,CUST00559,2026-02-03,PROD0242:5:23.74,118.7,Apple Pay,Delivered
ORD100172,CUST00115,2025-12-26,PROD0254:5:110.83,554.15,PayPal,Delivered
ORD100173,CUST01036,2026-05-02,PROD0085:5:87.79|PROD0022:2:55.37|PROD0176:5:106.09,1080.14,Apple Pay,Delivered
ORD100174,CUST00230,2026-04-12,PROD0267:1:85.78,85.78,Amex,Shipped
ORD100175,CUST00891,2026-02-06,PROD0203:5:248.58,1242.9,PayPal,Out for Delivery
ORD100176,CUST01130,2025-11-03,PROD0259:4:27.72|PROD0056:2:242.05,594.98,Apple Pay,Cancelled
ORD100177,CUST00496,2026-02-22,PROD0108:5:128.9,644.5,Mastercard,Shipped
ORD100178,CUST00147,2025-09-02,PROD0061:4:25.67,102.68,Apple Pay,Returned
ORD100179,CUST00547,2026-06-12,PROD0245:4:74.39|PROD0022:1:55.37,352.93,Amex,Delivered
ORD100180,CUST00848,2026-06-12,PROD0252:1:79.63|PROD0014:4:232.45|PROD0195:1:16.36,1025.79,Store Credit,Delivered
ORD100181,CUST00561,2025-08-16,PROD0283:4:33.8,135.2,PayPal,Delivered
ORD100182,CUST00007,2025-12-17,PROD0199:1:192.45|PROD0275:3:91.6,467.25,Apple Pay,Shipped
ORD100183,CUST00559,2026-01-15,PROD0080:1:101.65,101.65,PayPal,Delivered
ORD100184,CUST00245,2026-07-14,PROD0253:4:45.08|PROD0118:1:5.27,185.59,Mastercard,Delivered
ORD100185,CUST00755,2026-06-20,PROD0215:4:59.37,237.48,PayPal,Delivered
ORD100186,CUST00616,2025-12-01,PROD0071:2:156.65|PROD0062:1:20.08|PROD0013:5:24.34,455.08,Mastercard,Delivered
ORD100187,CUST01030,2025-11-10,PROD0069:4:29.63,118.52,Visa,Delivered
ORD100188,CUST00069,2026-04-01,PROD0097:4:10.79|PROD0244:2:28.97|PROD0245:1:74.39,175.49,Store Credit,Delivered
ORD100189,CUST00639,2026-05-15,PROD0212:3:40.49,121.47,Amex,Returned
ORD100190,CUST00057,2025-11-05,PROD0192:4:129.12|PROD0201:5:12.0,576.48,Mastercard,Delayed
ORD100191,CUST01070,2026-03-08,PROD0214:5:21.47|PROD0034:1:6.64,113.99,Mastercard,Processing
ORD100192,CUST00082,2026-02-04,PROD0144:4:37.09,148.36,Amex,Out for Delivery
ORD100193,CUST00083,2026-07-17,PROD0287:2:49.41|PROD0294:4:28.58,213.14,Apple Pay,Delivered
ORD100194,CUST00592,2026-05-30,PROD0161:3:19.26,57.78,Store Credit,Cancelled
ORD100195,CUST00213,2025-11-05,PROD0266:3:101.77|PROD0211:5:15.2|PROD0143:4:209.56,1219.55,Mastercard,Out for Delivery
ORD100196,CUST01192,2026-04-22,PROD0150:2:90.15,180.3,Apple Pay,Delivered
ORD100197,CUST00118,2026-05-16,PROD0175:2:37.15,74.3,Visa,Delivered
ORD100198,CUST00522,2026-04-09,PROD0282:5:114.39,571.95,Store Credit,Delayed
ORD100199,CUST01164,2026-05-30,PROD0224:4:131.68,526.72,Mastercard,Delivered
ORD100200,CUST00506,2026-04-30,PROD0050:4:15.03,60.12,Apple Pay,Delivered
ORD100201,CUST00560,2025-11-25,PROD0293:3:26.46,79.38,Amex,Cancelled
ORD100202,CUST00311,2025-08-10,PROD0163:2:76.48|PROD0113:4:29.87,272.44,Store Credit,Delivered
ORD100203,CUST00126,2025-11-20,PROD0085:2:87.79,175.58,Amex,Cancelled
ORD100204,CUST00560,2026-07-08,PROD0297:5:171.88,859.4,PayPal,Delayed
ORD100205,CUST00287,2026-02-11,PROD0195:3:16.36|PROD0012:2:54.17|PROD0278:4:43.45,331.22,Store Credit,Delivered
ORD100206,CUST00035,2025-10-11,PROD0194:4:48.76|PROD0087:2:72.87,340.78,Amex,Delivered
ORD100207,CUST01154,2025-12-01,PROD0034:1:6.64|PROD0232:4:130.11,527.08,Amex,Shipped
ORD100208,CUST00816,2026-01-24,PROD0188:3:10.76,32.28,Mastercard,Delivered
ORD100209,CUST00185,2026-07-27,PROD0048:3:19.97|PROD0284:1:36.34|PROD0026:5:54.92,370.85,PayPal,Returned
ORD100210,CUST01147,2026-04-22,PROD0048:5:19.97,99.85,Apple Pay,Delivered
ORD100211,CUST00734,2025-11-07,PROD0040:1:6.69|PROD0035:3:186.35,565.74,Mastercard,Processing
ORD100212,CUST00017,2026-03-23,PROD0189:2:116.79|PROD0092:5:55.86,512.88,Mastercard,Returned
ORD100213,CUST00773,2026-02-16,PROD0025:4:16.49,65.96,Mastercard,Delivered
ORD100214,CUST00905,2026-07-30,PROD0022:1:55.37,55.37,Mastercard,Returned
ORD100215,CUST00956,2026-06-26,PROD0182:5:235.58|PROD0296:4:70.76|PROD0208:2:29.11|PROD0129:5:19.99,1619.11,Mastercard,Delayed
ORD100216,CUST00970,2026-02-06,PROD0250:2:8.48,16.96,Mastercard,Processing
ORD100217,CUST00921,2025-10-13,PROD0072:3:70.01,210.03,Mastercard,Delivered
ORD100218,CUST00638,2026-02-05,PROD0238:1:88.09|PROD0067:2:11.15|PROD0213:2:69.08,248.55,Visa,Cancelled
ORD100219,CUST00806,2026-01-25,PROD0198:4:74.76,299.04,Amex,Delivered
ORD100220,CUST01074,2026-04-15,PROD0052:2:62.04,124.08,Store Credit,Processing
ORD100221,CUST00967,2026-04-16,PROD0267:3:85.78,257.34,PayPal,Delivered
ORD100222,CUST01200,2025-10-01,PROD0250:1:8.48|PROD0222:5:52.54|PROD0264:5:25.7,399.68,Mastercard,Shipped
ORD100223,CUST00403,2025-09-15,PROD0142:2:68.42|PROD0202:1:14.1,150.94,Visa,Delivered
ORD100224,CUST00588,2025-12-07,PROD0108:1:128.9|PROD0001:3:121.73|PROD0034:4:6.64|PROD0084:1:98.15,618.8,Mastercard,Delivered
ORD100225,CUST00506,2026-01-15,PROD0168:2:193.82|PROD0270:5:25.5,515.14,Amex,Shipped
ORD100226,CUST00239,2025-12-30,PROD0208:1:29.11,29.11,Amex,Returned
ORD100227,CUST00709,2025-09-18,PROD0259:4:27.72|PROD0186:4:24.16,207.52,Amex,Delivered
ORD100228,CUST00117,2026-03-10,PROD0222:2:52.54,105.08,Visa,Delivered
ORD100229,CUST00812,2026-05-27,PROD0221:2:21.66,43.32,Store Credit,Delivered
ORD100230,CUST01087,2025-08-03,PROD0220:4:35.61,142.44,Apple Pay,Cancelled
ORD100231,CUST00806,2025-07-31,PROD0017:2:145.85,291.7,Amex,Delivered
ORD100232,CUST00647,2025-09-10,PROD0001:4:121.73|PROD0099:1:133.23|PROD0088:3:38.76|PROD0201:5:12.0,796.43,Store Credit,Delivered
ORD100233,CUST01052,2026-04-19,PROD0115:3:182.29,546.87,Amex,Delivered
ORD100234,CUST00529,2026-02-20,PROD0121:3:31.31,93.93,Mastercard,Out for Delivery
ORD100235,CUST00514,2025-10-13,PROD0230:2:7.64,15.28,Visa,Delivered
ORD100236,CUST00247,2026-06-24,PROD0283:2:33.8|PROD0155:4:146.86,655.04,Amex,Out for Delivery
ORD100237,CUST00517,2026-02-14,PROD0255:4:175.96,703.84,PayPal,Out for Delivery
ORD100238,CUST01049,2026-05-16,PROD0095:3:26.42|PROD0004:4:9.47|PROD0085:1:87.79,204.93,Amex,Delivered
ORD100239,CUST00281,2026-06-18,PROD0176:5:106.09,530.45,Visa,Delivered
ORD100240,CUST00692,2026-04-14,PROD0201:5:12.0,60.0,Store Credit,Returned
ORD100241,CUST00901,2026-02-23,PROD0033:4:50.93|PROD0243:4:47.44,393.48,Store Credit,Cancelled
ORD100242,CUST01074,2026-01-07,PROD0115:3:182.29|PROD0231:1:10.76|PROD0136:2:75.27,708.17,Store Credit,Out for Delivery
ORD100243,CUST00921,2025-11-29,PROD0221:1:21.66,21.66,Amex,Returned
ORD100244,CUST00631,2025-12-24,PROD0121:5:31.31|PROD0200:3:39.66,275.53,Apple Pay,Delivered
ORD100245,CUST00267,2025-12-09,PROD0150:3:90.15,270.45,PayPal,Delivered
ORD100246,CUST00249,2025-07-31,PROD0034:4:6.64|PROD0139:3:31.77|PROD0092:1:55.86|PROD0059:5:125.94,807.43,Store Credit,Processing
ORD100247,CUST00247,2026-04-02,PROD0143:3:209.56|PROD0043:1:53.62,682.3,PayPal,Delivered
ORD100248,CUST00245,2025-10-20,PROD0274:2:126.5,253.0,Apple Pay,Delivered
ORD100249,CUST00402,2026-06-12,PROD0035:4:186.35|PROD0117:5:34.38,917.3,PayPal,Processing
ORD100250,CUST00398,2025-11-08,PROD0019:1:32.14|PROD0232:5:130.11|PROD0097:3:10.79,715.06,Apple Pay,Delivered
ORD100251,CUST00818,2025-09-17,PROD0288:5:79.59|PROD0060:2:25.69,449.33,Store Credit,Delivered
ORD100252,CUST00303,2025-12-27,PROD0055:1:32.88,32.88,Apple Pay,Returned
ORD100253,CUST00153,2026-04-27,PROD0256:3:7.79,23.37,PayPal,Processing
ORD100254,CUST00965,2026-01-13,PROD0048:2:19.97,39.94,Store Credit,Returned
ORD100255,CUST00652,2025-10-01,PROD0109:5:29.51,147.55,Mastercard,Processing
ORD100256,CUST00079,2026-05-07,PROD0041:5:26.94|PROD0282:5:114.39,706.65,Store Credit,Delivered
