product_id,product_name,category,unit_price,stock_quantity,warehouse
PROD0028,Bluetooth Speaker,Electronics,89.71,932,"Warehouse B - Reno, NV"
PROD0029,Stainless Pan,Home & Kitchen,81.59,42,"Warehouse B - Reno, NV"
PROD0030,Fleece T-Shirt,Apparel,27.16,1557,"Warehouse A - Dallas, TX"
PROD0031,All-Terrain Tent,Sports & Outdoors,213.56,1194,"Warehouse A - Dallas, TX"
PROD0032,Pocket Novel,Books,22.58,92,"Warehouse A - Dallas, TX"
PROD0033,Travel-Size Lip Balm,Beauty,50.93,1075,"Warehouse B - Reno, NV"
PROD0034,Gluten-Free Coffee Beans,Grocery,6.64,1646,"Warehouse C - Columbus, OH"
PROD0035,Smart Hub,Electronics,186.35,1117,"Warehouse C - Columbus, OH"
PROD0036,Deluxe Pan,Home & Kitchen,51.6,939,"Warehouse A - Dallas, TX"
PROD0037,Fleece Hoodie,Apparel,94.05,1825,"Warehouse D - Newark, NJ"
PROD0038,Adjustable Tent,Sports & Outdoors,153.69,1491,"Warehouse A - Dallas, TX"
PROD0039,Revised Journal,Books,35.25,1350,"Warehouse B - Reno, NV"
PROD0040,Hydrating Sunscreen,Beauty,6.69,1182,"Warehouse D - Newark, NJ"
PROD0041,Single-Origin Pasta,Grocery,26.94,396,"Warehouse D - Newark, NJ"
PROD0042,HD Keyboard,Electronics,241.7,1796,"Warehouse D - Newark, NJ"
PROD0043,Compact Cutting Board,Home & Kitchen,53.62,1390,"Warehouse C - Columbus, OH"
PROD0044,Fleece Socks,Apparel,79.04,1935,"Warehouse C - Columbus, OH"
PROD0045,Insulated Water Bottle,Sports & Outdoors,17.66,1065,"Warehouse C - Columbus, OH"
PROD0046,Illustrated Journal,Books,33.24,1160,"Warehouse C - Columbus, OH"
PROD0047,Hydrating Moisturizer,Beauty,58.31,1021,"Warehouse B - Reno, NV"
PROD0048,Family-Size Pasta,Grocery,19.97,593,"Warehouse B - Reno, NV"
PROD0049,USB-C Hub,Electronics,79.17,1637,"Warehouse C - Columbus, OH"
PROD0050,Stainless Pan,Home & Kitchen,15.03,579,"Warehouse A - Dallas, TX"
PROD0051,Cotton Socks,Apparel,43.91,881,"Warehouse C - Columbus, OH"
PROD0052,Adjustable Yoga Mat,Sports & Outdoors,62.04,717,"Warehouse C - Columbus, OH"
PROD0053,Revised Cookbook,Books,30.53,292,"Warehouse B - Reno, NV"
PROD0054,Matte Face Wash,Beauty,55.49,595,"Warehouse B - Reno, NV"
PROD0055,Organic Olive Oil,Grocery,32.88,509,"Warehouse D - Newark, NJ"
PROD0056,Smart Monitor,Electronics,242.05,200,"Warehouse C - Columbus, OH"
PROD0057,Non-stick Air Fryer,Home & Kitchen,37.8,892,"Warehouse C - Columbus, OH"
PROD0058,Merino Jacket,Apparel,90.72,408,"Warehouse C - Columbus, OH"
PROD0059,Foldable Backpack,Sports & Outdoors,125.94,616,"Warehouse C - Columbus, OH"
PROD0060,Illustrated Field Guide,Books,25.69,1286,"Warehouse D - Newark, NJ"
PROD0061,Travel-Size Shampoo,Beauty,25.67,1793,"Warehouse D - Newark, NJ"
PROD0062,Organic Pasta,Grocery,20.08,1421,"Warehouse C - Columbus, OH"
PROD0063,Portable Webcam,Electronics,122.4,875,"Warehouse D - Newark, NJ"
PROD0064,Electric Mug,Home & Kitchen,87.33,1868,"Warehouse A - Dallas, TX"
PROD0065,Waterproof T-Shirt,Apparel,99.72,1259,"Warehouse C - Columbus, OH"
PROD0066,Foldable Dumbbell Set,Sports & Outdoors,117.07,260,"Warehouse C - Columbus, OH"
PROD0067,Illustrated Journal,Books,11.15,1372,"Warehouse A - Dallas, TX"
PROD0068,Matte Face Wash,Beauty,30.3,111,"Warehouse A - Dallas, TX"
PROD0069,Organic Trail Mix,Grocery,29.63,1330,"Warehouse A - Dallas, TX"
PROD0070,USB-C Keyboard,Electronics,207.26,1158,"Warehouse D - Newark, NJ"
PROD0071,Deluxe Cookware Set,Home & Kitchen,156.65,248,"Warehouse A - Dallas, TX"
PROD0072,Classic Jacket,Apparel,70.01,1151,"Warehouse D - Newark, NJ"
PROD0073,Foldable Water Bottle,Sports & Outdoors,197.85,1310,"Warehouse B - Reno, NV"
PROD0074,Collector's Field Guide,Books,30.72,1918,"Warehouse A - Dallas, TX"
PROD0075,Matte Face Wash,Beauty,42.82,234,"Warehouse A - Dallas, TX"
PROD0076,Organic Pasta,Grocery,22.51,247,"Warehouse A - Dallas, TX"
PROD0077,Bluetooth Charger,Electronics,34.86,50,"Warehouse D - Newark, NJ"
PROD0078,Electric Kettle,Home & Kitchen,167.27,614,"Warehouse D - Newark, NJ"
PROD0079,Waterproof Jacket,Apparel,107.7,1723,"Warehouse C - Columbus, OH"
PROD0080,All-Terrain Bike Helmet,Sports & Outdoors,101.65,1347,"Warehouse A - Dallas, TX"
PROD0081,Pocket Novel,Books,27.98,378,"Warehouse B - Reno, NV"
PROD0082,Fragrance-Free Shampoo,Beauty,33.12,1432,"Warehouse B - Reno, NV"
PROD0083,Family-Size Olive Oil,Grocery,12.63,1367,"Warehouse A - Dallas, TX"
PROD0084,Portable Hub,Electronics,98.15,563,"Warehouse D - Newark, NJ"
PROD0085,Electric Blender,Home & Kitchen,87.79,1666,"Warehouse D - Newark, NJ"
PROD0086,Slim-Fit T-Shirt,Apparel,41.13,246,"Warehouse D - Newark, NJ"
PROD0087,Adjustable Dumbbell Set,Sports & Outdoors,72.87,1321,"Warehouse D - Newark, NJ"
PROD0088,Illustrated Field Guide,Books,38.76,958,"Warehouse D - Newark, NJ"
PROD0089,Hydrating Moisturizer,Beauty,58.99,732,"Warehouse B - Reno, NV"
PROD0090,Single-Origin Granola,Grocery,15.79,128,"Warehouse B - Reno, NV"
PROD0091,HD Speaker,Electronics,94.44,1472,"Warehouse C - Columbus, OH"
PROD0092,Electric Cutting Board,Home & Kitchen,55.86,1561,"Warehouse C - Columbus, OH"
PROD0093,Waterproof T-Shirt,Apparel,119.59,1321,"Warehouse D - Newark, NJ"
PROD0094,Lightweight Backpack,Sports & Outdoors,136.82,369,"Warehouse C - Columbus, OH"
PROD0095,Revised Field Guide,Books,26.42,1189,"Warehouse C - Columbus, OH"
PROD0096,Travel-Size Face Wash,Beauty,50.63,138,"Warehouse A - Dallas, TX"
PROD0097,Organic Pasta,Grocery,10.79,1362,"Warehouse A - Dallas, TX"
PROD0098,Smart Hub,Electronics,87.67,474,"Warehouse B - Reno, NV"
PROD0099,Stainless Cutting Board,Home & Kitchen,133.23,786,"Warehouse D - Newark, NJ"
PROD0100,Cotton T-Shirt,Apparel,81.87,234,"Warehouse A - Dallas, TX"
PROD0101,Adjustable Backpack,Sports & Outdoors,170.06,1242,"Warehouse A - Dallas, TX"
PROD0102,Revised Field Guide,Books,10.54,920,"Warehouse D - Newark, NJ"
PROD0103,Fragrance-Free Face Wash,Beauty,35.6,400,"Warehouse C - Columbus, OH"
PROD0104,Family-Size Olive Oil,Grocery,24.87,461,"Warehouse B - Reno, NV"
PROD0105,HD Speaker,Electronics,114.17,1082,"Warehouse B - Reno, NV"
PROD0106,Stainless Kettle,Home & Kitchen,116.2,1369,"Warehouse A - Dallas, TX"
PROD0107,Slim-Fit T-Shirt,Apparel,106.43,1829,"Warehouse A - Dallas, TX"
PROD0108,Insulated Backpack,Sports & Outdoors,128.9,1770,"Warehouse A - Dallas, TX"
PROD0109,Collector's Novel,Books,29.51,1961,"Warehouse D - Newark, NJ"
PROD0110,Fragrance-Free Shampoo,Beauty,36.36,970,"Warehouse C - Columbus, OH"
PROD0111,Single-Origin Granola,Grocery,31.83,1747,"Warehouse B - Reno, NV"
PROD0112,Wireless Hub,Electronics,112.59,770,"Warehouse A - Dallas, TX"
PROD0113,Compact Blender,Home & Kitchen,29.87,1059,"Warehouse C - Columbus, OH"
PROD0114,Cotton T-Shirt,Apparel,67.83,105,"Warehouse C - Columbus, OH"
PROD0115,Adjustable Water Bottle,Sports & Outdoors,182.29,593,"Warehouse C - Columbus, OH"
PROD0116,Pocket Field Guide,Books,9.23,1784,"Warehouse B - Reno, NV"
PROD0117,Hydrating Moisturizer,Beauty,34.38,494,"Warehouse C - Columbus, OH"
PROD0118,Family-Size Granola,Grocery,5.27,1428,"Warehouse A - Dallas, TX"
PROD0119,Portable Hub,Electronics,234.85,538,"Warehouse A - Dallas, TX"
PROD0120,Stainless Cookware Set,Home & Kitchen,80.47,410,"Warehouse C - Columbus, OH"
PROD0121,Cotton Jacket,Apparel,31.31,1672,"Warehouse C - Columbus, OH"
PROD0122,Adjustable Water Bottle,Sports & Outdoors,113.13,1649,"Warehouse A - Dallas, TX"
PROD0123,Collector's Cookbook,Books,38.34,1225,"Warehouse A - Dallas, TX"
PROD0124,Travel-Size Sunscreen,Beauty,57.05,554,"Warehouse A - Dallas, TX"
PROD0125,Organic Coffee Beans,Grocery,19.13,461,"Warehouse C - Columbus, OH"
PROD0126,Smart Hub,Electronics,82.81,1740,"Warehouse B - Reno, NV"
PROD0127,Stainless Kettle,Home & Kitchen,12.52,1601,"Warehouse B - Reno, NV"
PROD0128,Merino Jeans,Apparel,112.67,1396,"Warehouse A - Dallas, TX"
PROD0129,All-Terrain Backpack,Sports & Outdoors,19.99,1568,"Warehouse D - Newark, NJ"
PROD0130,Revised Journal,Books,30.13,1125,"Warehouse B - Reno, NV"
PROD0131,Organic Sunscreen,Beauty,11.48,1260,"Warehouse C - Columbus, OH"
PROD0132,Single-Origin Pasta,Grocery,14.3,1880,"Warehouse A - Dallas, TX"
PROD0133,Bluetooth Charger,Electronics,32.07,20,"Warehouse B - Reno, NV"
PROD0134,Electric Kettle,Home & Kitchen,178.43,30,"Warehouse B - Reno, NV"
PROD0135,Cotton T-Shirt,Apparel,13.02,898,"Warehouse B - Reno, NV"
PROD0136,Insulated Yoga Mat,Sports & Outdoors,75.27,1233,"Warehouse B - Reno, NV"
PROD0137,Collector's Novel,Books,26.99,980,"Warehouse A - Dallas, TX"
PROD0138,Organic Moisturizer,Beauty,18.75,1113,"Warehouse B - Reno, NV"
PROD0139,Family-Size Trail Mix,Grocery,31.77,1758,"Warehouse B - Reno, NV"
PROD0140,Smart Headphones,Electronics,235.93,1597,"Warehouse C - Columbus, OH"
PROD0141,Deluxe Toaster,Home & Kitchen,98.61,547,"Warehouse C - Columbus, OH"
PROD0142,Classic Jeans,Apparel,68.42,110,"Warehouse C - Columbus, OH"
PROD0143,Lightweight Bike Helmet,Sports & Outdoors,209.56,995,"Warehouse C - Columbus, OH"
PROD0144,Illustrated Novel,Books,37.09,1723,"Warehouse B - Reno, NV"
PROD0145,Hydrating Face Wash,Beauty,16.58,762,"Warehouse B - Reno, NV"
PROD0146,Organic Pasta,Grocery,25.49,1331,"Warehouse D - Newark, NJ"
PROD0147,Wireless Mouse,Electronics,129.73,69,"Warehouse C - Columbus, OH"
PROD0148,Non-stick Mug,Home & Kitchen,59.66,1976,"Warehouse A - Dallas, TX"
PROD0149,Cotton Hoodie,Apparel,111.96,786,"Warehouse D - Newark, NJ"
PROD0150,Adjustable Backpack,Sports & Outdoors,90.15,90,"Warehouse B - Reno, NV"
PROD0151,Revised Journal,Books,13.08,882,"Warehouse A - Dallas, TX"
PROD0152,Hydrating Moisturizer,Beauty,34.78,712,"Warehouse A - Dallas, TX"
PROD0153,No-Sugar Trail Mix,Grocery,32.56,1858,"Warehouse C - Columbus, OH"
PROD0154,Portable Charger,Electronics,191.73,698,"Warehouse D - Newark, NJ"
PROD0155,Electric Kettle,Home & Kitchen,146.86,1133,"Warehouse D - Newark, NJ"
PROD0156,Classic Cap,Apparel,41.63,1920,"Warehouse D - Newark, NJ"
PROD0157,Lightweight Dumbbell Set,Sports & Outdoors,160.75,1574,"Warehouse C - Columbus, OH"
PROD0158,Revised Journal,Books,22.41,1893,"Warehouse B - Reno, NV"
PROD0159,Fragrance-Free Moisturizer,Beauty,20.43,1397,"Warehouse C - Columbus, OH"
PROD0160,Organic Pasta,Grocery,27.79,605,"Warehouse C - Columbus, OH"
PROD0161,Portable Monitor,Electronics,19.26,561,"Warehouse C - Columbus, OH"
PROD0162,Non-stick Air Fryer,Home & Kitchen,142.57,1659,"Warehouse A - Dallas, TX"
PROD0163,Cotton Hoodie,Apparel,76.48,657,"Warehouse C - Columbus, OH"
PROD0164,Foldable Backpack,Sports & Outdoors,106.62,900,"Warehouse A - Dallas, TX"
PROD0165,Pocket Cookbook,Books,38.86,983,"Warehouse B - Reno, NV"
PROD0166,Matte Moisturizer,Beauty,36.87,162,"Warehouse C - Columbus, OH"
PROD0167,No-Sugar Granola,Grocery,13.38,131,"Warehouse D - Newark, NJ"
PROD0168,Bluetooth Headphones,Electronics,193.82,565,"Warehouse C - Columbus, OH"
PROD0169,Electric Cutting Board,Home & Kitchen,47.11,357,"Warehouse B - Reno, NV"
PROD0170,Merino Cap,Apparel,12.14,234,"Warehouse A - Dallas, TX"
PROD0171,Foldable Bike Helmet,Sports & Outdoors,115.91,901,"Warehouse C - Columbus, OH"
PROD0172,Illustrated Atlas,Books,30.66,124,"Warehouse C - Columbus, OH"
PROD0173,Hydrating Moisturizer,Beauty,42.3,1756,"Warehouse C - Columbus, OH"
PROD0174,No-Sugar Coffee Beans,Grocery,22.41,716,"Warehouse A - Dallas, TX"
PROD0175,Wireless Hub,Electronics,37.15,158,"Warehouse B - Reno, NV"
PROD0176,Ceramic Cookware Set,Home & Kitchen,106.09,1698,"Warehouse D - Newark, NJ"
PROD0177,Cotton Cap,Apparel,58.87,579,"Warehouse B - Reno, NV"
PROD0178,Adjustable Tent,Sports & Outdoors,137.06,737,"Warehouse C - Columbus, OH"
PROD0179,Pocket Field Guide,Books,22.52,1993,"Warehouse C - Columbus, OH"
PROD0180,Travel-Size Moisturizer,Beauty,13.81,91,"Warehouse C - Columbus, OH"
PROD0181,Gluten-Free Granola,Grocery,4.29,1247,"Warehouse B - Reno, NV"
PROD0182,USB-C Webcam,Electronics,235.58,775,"Warehouse A - Dallas, TX"
PROD0183,Deluxe Cutting Board,Home & Kitchen,73.54,1329,"Warehouse A - Dallas, TX"
PROD0184,Cotton Jacket,Apparel,76.1,1176,"Warehouse D - Newark, NJ"
PROD0185,All-Terrain Bike Helmet,Sports & Outdoors,34.57,1799,"Warehouse A - Dallas, TX"
PROD0186,Pocket Atlas,Books,24.16,649,"Warehouse C - Columbus, OH"
PROD0187,Fragrance-Free Face Wash,Beauty,21.11,499,"Warehouse C - Columbus, OH"
PROD0188,Gluten-Free Trail Mix,Grocery,10.76,644,"Warehouse A - Dallas, TX"
PROD0189,HD Charger,Electronics,116.79,1961,"Warehouse D - Newark, NJ"
PROD0190,Non-stick Blender,Home & Kitchen,68.53,1035,"Warehouse A - Dallas, TX"
PROD0191,Fleece Cap,Apparel,66.03,471,"Warehouse D - Newark, NJ"
PROD0192,Lightweight Water Bottle,Sports & Outdoors,129.12,1693,"Warehouse B - Reno, NV"
PROD0193,Revised Journal,Books,29.24,1363,"Warehouse B - Reno, NV"
PROD0194,Travel-Size Lip Balm,Beauty,48.76,699,"Warehouse C - Columbus, OH"
PROD0195,Organic Coffee Beans,Grocery,16.36,1034,"Warehouse B - Reno, NV"
PROD0196,Portable Hub,Electronics,161.82,1582,"Warehouse B - Reno, NV"
PROD0197,Ceramic Pan,Home & Kitchen,10.66,247,"Warehouse D - Newark, NJ"
PROD0198,Fleece Scarf,Apparel,74.76,1904,"Warehouse D - Newark, NJ"
PROD0199,Adjustable Water Bottle,Sports & Outdoors,192.45,1707,"Warehouse D - Newark, NJ"
PROD0200,Illustrated Novel,Books,39.66,271,"Warehouse D - Newark, NJ"
PROD0201,Matte Lip Balm,Beauty,12.0,1427,"Warehouse B - Reno, NV"
PROD0202,Single-Origin Coffee Beans,Grocery,14.1,1689,"Warehouse C - Columbus, OH"
PROD0203,Portable Keyboard,Electronics,248.58,92,"Warehouse A - Dallas, TX"
PROD0204,Deluxe Cookware Set,Home & Kitchen,171.38,1865,"Warehouse D - Newark, NJ"
PROD0205,Classic Socks,Apparel,97.84,892,"Warehouse C - Columbus, OH"
PROD0206,Lightweight Bike Helmet,Sports & Outdoors,37.39,375,"Warehouse A - Dallas, TX"
PROD0207,Revised Cookbook,Books,26.58,757,"Warehouse D - Newark, NJ"
PROD0208,Matte Lip Balm,Beauty,29.11,1041,"Warehouse C - Columbus, OH"
PROD0209,Organic Pasta,Grocery,12.86,698,"Warehouse A - Dallas, TX"
PROD0210,Portable Monitor,Electronics,78.45,786,"Warehouse C - Columbus, OH"
PROD0211,Ceramic Cutting Board,Home & Kitchen,15.2,1935,"Warehouse B - Reno, NV"
PROD0212,Waterproof Jeans,Apparel,40.49,1801,"Warehouse C - Columbus, OH"
PROD0213,Adjustable Tent,Sports & Outdoors,69.08,242,"Warehouse C - Columbus, OH"
PROD0214,Collector's Journal,Books,21.47,1813,"Warehouse B - Reno, NV"
PROD0215,Hydrating Lip Balm,Beauty,59.37,1543,"Warehouse A - Dallas, TX"
PROD0216,Gluten-Free Trail Mix,Grocery,7.93,423,"Warehouse B - Reno, NV"
PROD0217,Wireless Mouse,Electronics,240.36,1105,"Warehouse B - Reno, NV"
PROD0218,Stainless Pan,Home & Kitchen,151.18,52,"Warehouse C - Columbus, OH"
PROD0219,Slim-Fit Hoodie,Apparel,122.77,1169,"Warehouse D - Newark, NJ"
PROD0220,Lightweight Dumbbell Set,Sports & Outdoors,35.61,929,"Warehouse C - Columbus, OH"
PROD0221,Illustrated Cookbook,Books,21.66,885,"Warehouse D - Newark, NJ"
PROD0222,Hydrating Moisturizer,Beauty,52.54,570,"Warehouse A - Dallas, TX"
PROD0223,Single-Origin Coffee Beans,Grocery,26.93,455,"Warehouse A - Dallas, TX"
PROD0224,USB-C Speaker,Electronics,131.68,565,"Warehouse D - Newark, NJ"
PROD0225,Deluxe Blender,Home & Kitchen,129.56,644,"Warehouse A - Dallas, TX"
PROD0226,Waterproof T-Shirt,Apparel,121.6,1626,"Warehouse C - Columbus, OH"
PROD0227,Foldable Dumbbell Set,Sports & Outdoors,148.49,1797,"Warehouse A - Dallas, TX"
PROD0228,Illustrated Novel,Books,11.51,770,"Warehouse B - Reno, NV"
PROD0229,Fragrance-Free Lip Balm,Beauty,30.85,992,"Warehouse B - Reno, NV"
PROD0230,Family-Size Trail Mix,Grocery,7.64,1300,"Warehouse A - Dallas, TX"
PROD0231,Portable Charger,Electronics,10.76,137,"Warehouse D - Newark, NJ"
PROD0232,Compact Toaster,Home & Kitchen,130.11,79,"Warehouse D - Newark, NJ"
PROD0233,Classic Hoodie,Apparel,82.05,1292,"Warehouse B - Reno, NV"
PROD0234,Insulated Backpack,Sports & Outdoors,120.92,1954,"Warehouse B - Reno, NV"
PROD0235,Collector's Novel,Books,35.87,1368,"Warehouse D - Newark, NJ"
PROD0236,Matte Sunscreen,Beauty,37.87,1112,"Warehouse D - Newark, NJ"
PROD0237,Single-Origin Coffee Beans,Grocery,10.39,1972,"Warehouse C - Columbus, OH"
PROD0238,Smart Hub,Electronics,88.09,1356,"Warehouse D - Newark, NJ"
PROD0239,Stainless Cutting Board,Home & Kitchen,87.92,653,"Warehouse A - Dallas, TX"
PROD0240,Fleece Cap,Apparel,55.35,262,"Warehouse D - Newark, NJ"
PROD0241,Lightweight Dumbbell Set,Sports & Outdoors,95.92,480,"Warehouse A - Dallas, TX"
PROD0242,Collector's Field Guide,Books,23.74,1822,"Warehouse D - Newark, NJ"
PROD0243,Organic Face Wash,Beauty,47.44,535,"Warehouse C - Columbus, OH"
PROD0244,Family-Size Olive Oil,Grocery,28.97,870,"Warehouse D - Newark, NJ"
PROD0245,USB-C Mouse,Electronics,74.39,1491,"Warehouse B - Reno, NV"
PROD0246,Non-stick Kettle,Home & Kitchen,61.05,839,"Warehouse B - Reno, NV"
PROD0247,Merino Jacket,Apparel,72.46,1596,"Warehouse A - Dallas, TX"
PROD0248,All-Terrain Dumbbell Set,Sports & Outdoors,78.55,1238,"Warehouse A - Dallas, TX"
PROD0249,Illustrated Journal,Books,9.97,1443,"Warehouse C - Columbus, OH"
PROD0250,Hydrating Face Wash,Beauty,8.48,100,"Warehouse B - Reno, NV"
PROD0251,Single-Origin Granola,Grocery,9.74,321,"Warehouse D - Newark, NJ"
PROD0252,HD Charger,Electronics,79.63,330,"Warehouse C - Columbus, OH"
PROD0253,Non-stick Mug,Home & Kitchen,45.08,1501,"Warehouse B - Reno, NV"
PROD0254,Cotton T-Shirt,Apparel,110.83,1546,"Warehouse A - Dallas, TX"
PROD0255,All-Terrain Backpack,Sports & Outdoors,175.96,86,"Warehouse B - Reno, NV"
PROD0256,Collector's Field Guide,Books,7.79,1293,"Warehouse B - Reno, NV"
PROD0257,Organic Lip Balm,Beauty,46.24,1665,"Warehouse D - Newark, NJ"
PROD0258,Family-Size Pasta,Grocery,29.27,1795,"Warehouse C - Columbus, OH"
PROD0259,Wireless Keyboard,Electronics,27.72,1478,"Warehouse D - Newark, NJ"
PROD0260,Stainless Kettle,Home & Kitchen,135.73,1109,"Warehouse B - Reno, NV"
PROD0261,Cotton Cap,Apparel,78.93,801,"Warehouse B - Reno, NV"
PROD0262,All-Terrain Tent,Sports & Outdoors,174.58,870,"Warehouse A - Dallas, TX"
PROD0263,Collector's Field Guide,Books,22.13,204,"Warehouse C - Columbus, OH"
PROD0264,Travel-Size Sunscreen,Beauty,25.7,879,"Warehouse A - Dallas, TX"
PROD0265,Gluten-Free Olive Oil,Grocery,21.16,989,"Warehouse C - Columbus, OH"
PROD0266,HD Charger,Electronics,101.77,1017,"Warehouse D - Newark, NJ"
PROD0267,Non-stick Blender,Home & Kitchen,85.78,1183,"Warehouse A - Dallas, TX"
PROD0268,Waterproof Scarf,Apparel,34.77,757,"Warehouse D - Newark, NJ"
PROD0269,All-Terrain Yoga Mat,Sports & Outdoors,144.62,680,"Warehouse B - Reno, NV"
PROD0270,Illustrated Cookbook,Books,25.5,425,"Warehouse D - Newark, NJ"
PROD0271,Travel-Size Shampoo,Beauty,9.6,825,"Warehouse D - Newark, NJ"
PROD0272,No-Sugar Granola,Grocery,27.45,120,"Warehouse D - Newark, NJ"
PROD0273,USB-C Monitor,Electronics,84.74,691,"Warehouse B - Reno, NV"
PROD0274,Stainless Cookware Set,Home & Kitchen,126.5,1226,"Warehouse D - Newark, NJ"
PROD0275,Cotton Hoodie,Apparel,91.6,1546,"Warehouse D - Newark, NJ"
PROD0276,All-Terrain Backpack,Sports & Outdoors,75.04,1335,"Warehouse B - Reno, NV"
PROD0277,Collector's Journal,Books,30.38,1053,"Warehouse A - Dallas, TX"
PROD0278,Organic Sunscreen,Beauty,43.45,769,"Warehouse B - Reno, NV"
PROD0279,Organic Pasta,Grocery,19.87,248,"Warehouse B - Reno, NV"
PROD0280,Bluetooth Hub,Electronics,218.73,232,"Warehouse A - Dallas, TX"
PROD0281,Electric Pan,Home & Kitchen,37.35,1644,"Warehouse D - Newark, NJ"
PROD0282,Slim-Fit Cap,Apparel,114.39,856,"Warehouse D - Newark, NJ"
PROD0283,Adjustable Tent,Sports & Outdoors,33.8,602,"Warehouse C - Columbus, OH"
PROD0284,Collector's Atlas,Books,36.34,1154,"Warehouse B - Reno, NV"
PROD0285,Fragrance-Free Lip Balm,Beauty,33.77,418,"Warehouse C - Columbus, OH"
PROD0286,No-Sugar Granola,Grocery,11.4,947,"Warehouse B - Reno, NV"
PROD0287,USB-C Speaker,Electronics,49.41,1464,"Warehouse D - Newark, NJ"
PROD0288,Stainless Cookware Set,Home & Kitchen,79.59,307,"Warehouse D - Newark, NJ"
PROD0289,Cotton T-Shirt,Apparel,44.66,384,"Warehouse B - Reno, NV"
PROD0290,Adjustable Dumbbell Set,Sports & Outdoors,105.75,193,"Warehouse A - Dallas, TX"
PROD0291,Pocket Atlas,Books,12.15,717,"Warehouse B - Reno, NV"
PROD0292,Hydrating Moisturizer,Beauty,56.02,562,"Warehouse C - Columbus, OH"
PROD0293,Family-Size Granola,Grocery,26.46,752,"Warehouse D - Newark, NJ"
PROD0294,USB-C Charger,Electronics,28.58,312,"Warehouse A - Dallas, TX"
PROD0295,Deluxe Toaster,Home & Kitchen,56.15,538,"Warehouse A - Dallas, TX"
PROD0296,Slim-Fit Scarf,Apparel,70.76,1320,"Warehouse D - Newark, NJ"
PROD0297,Insulated Dumbbell Set,Sports & Outdoors,171.88,1212,"Warehouse C - Columbus, OH"
PROD0298,Pocket Novel,Books,12.54,1604,"Warehouse B - Reno, NV"
PROD0299,Fragrance-Free Moisturizer,Beauty,56.12,1259,"Warehouse B - Reno, NV"
PROD0300,Gluten-Free Pasta,Grocery,18.47,0,"Warehouse C - Columbus, OH"
